,Unnamed: 0,Attribute,Description,Value,Meaning
1636,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,-1,unknown
1637,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,0,none
1638,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,1,very low
1639,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,2,low
1640,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,3,average
1641,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,4,high
1642,,KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,5,very high
1643,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,-1,unknown
1644,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,0,none
1645,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,1,very low
1646,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,2,low
1647,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,3,average
1648,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,4,high
1649,,KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,5,very high
1650,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,-1,unknown
1651,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,0,none
1652,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,1,very low
1653,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,2,low
1654,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,3,average
1655,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,4,high
1656,,KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,5,very high
1657,,KBA13_MAZDA,share of MAZDA within the PLZ8,-1,unknown
1658,,KBA13_MAZDA,share of MAZDA within the PLZ8,0,none
1659,,KBA13_MAZDA,share of MAZDA within the PLZ8,1,very low
1660,,KBA13_MAZDA,share of MAZDA within the PLZ8,2,low
1661,,KBA13_MAZDA,share of MAZDA within the PLZ8,3,average
1662,,KBA13_MAZDA,share of MAZDA within the PLZ8,4,high
1663,,KBA13_MAZDA,share of MAZDA within the PLZ8,5,very high
1664,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,-1,unknown
1665,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,0,none
1666,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,1,very low
1667,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,2,low
1668,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,3,average
1669,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,4,high
1670,,KBA13_MERCEDES,share of MERCEDES within the PLZ8,5,very high
1671,,KBA13_MOTOR,most common motor size within the PLZ8,-1,unknown
1672,,KBA13_MOTOR,most common motor size within the PLZ8,0,none
1673,,KBA13_MOTOR,most common motor size within the PLZ8,1,mainly small engines
1674,,KBA13_MOTOR,most common motor size within the PLZ8,2,mainly medium sized engines
1675,,KBA13_MOTOR,most common motor size within the PLZ8,3,mainly high engines
1676,,KBA13_MOTOR,most common motor size within the PLZ8,4,mainly very big engines
1677,,KBA13_NISSAN,share of NISSAN within the PLZ8,-1,unknown
1678,,KBA13_NISSAN,share of NISSAN within the PLZ8,0,none
1679,,KBA13_NISSAN,share of NISSAN within the PLZ8,1,very low
1680,,KBA13_NISSAN,share of NISSAN within the PLZ8,2,low
1681,,KBA13_NISSAN,share of NISSAN within the PLZ8,3,average
1682,,KBA13_NISSAN,share of NISSAN within the PLZ8,4,high
1683,,KBA13_NISSAN,share of NISSAN within the PLZ8,5,very high
1684,,KBA13_OPEL,share of OPEL within the PLZ8,-1,unknown
1685,,KBA13_OPEL,share of OPEL within the PLZ8,0,none
1686,,KBA13_OPEL,share of OPEL within the PLZ8,1,very low
1687,,KBA13_OPEL,share of OPEL within the PLZ8,2,low
1688,,KBA13_OPEL,share of OPEL within the PLZ8,3,average
1689,,KBA13_OPEL,share of OPEL within the PLZ8,4,high
1690,,KBA13_OPEL,share of OPEL within the PLZ8,5,very high
1691,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,-1,unknown
1692,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,0,none
1693,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,1,very low
1694,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,2,low
1695,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,3,average
1696,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,4,high
1697,,KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,5,very high
1698,,KBA13_RENAULT,share of RENAULT within the PLZ8,-1,unknown
1699,,KBA13_RENAULT,share of RENAULT within the PLZ8,0,none
1700,,KBA13_RENAULT,share of RENAULT within the PLZ8,1,very low
1701,,KBA13_RENAULT,share of RENAULT within the PLZ8,2,low
1702,,KBA13_RENAULT,share of RENAULT within the PLZ8,3,average
1703,,KBA13_RENAULT,share of RENAULT within the PLZ8,4,high
1704,,KBA13_RENAULT,share of RENAULT within the PLZ8,5,very high
1705,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,-1,unknown
1706,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,0,none
1707,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,1,very low
1708,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,2,low
1709,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,3,average
1710,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,4,high
1711,,KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,5,very high
1712,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,-1,unknown
1713,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,0,none
1714,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,1,very low
1715,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,2,low
1716,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,3,average
1717,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,4,high
1718,,KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,5,very high
1719,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,-1,unknown
1720,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,0,none
1721,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,1,very low
1722,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,2,low
1723,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,3,average
1724,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,4,high
1725,,KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,5,very high
1726,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",-1,unknown
1727,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",0,none
1728,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",1,very low
1729,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",2,low
1730,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",3,average
1731,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",4,high
1732,,KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",5,very high
1733,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,-1,unknown
1734,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,0,none
1735,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,1,very low
1736,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,2,low
1737,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,3,average
1738,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,4,high
1739,,KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,5,very high
1740,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,-1,unknown
1741,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,0,none
1742,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,1,very low
1743,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,2,low
1744,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,3,average
1745,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,4,high
1746,,KBA13_SEG_MINIVANS,share of minivans within the PLZ8,5,very high
1747,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,-1,unknown
1748,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,0,none
1749,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,1,very low
1750,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,2,low
1751,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,3,average
1752,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,4,high
1753,,KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,5,very high
1754,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,-1,unknown
1755,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,0,none
1756,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,1,very low
1757,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,2,low
1758,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,3,average
1759,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,4,high
1760,,KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,5,very high
1761,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",-1,unknown
1762,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",0,none
1763,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",1,very low
1764,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",2,low
1765,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",3,average
1766,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",4,high
1767,,KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",5,very high
1768,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,-1,unknown
1769,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,0,none
1770,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,1,very low
1771,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,2,low
1772,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,3,average
1773,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,4,high
1774,,KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,5,very high
1775,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,-1,unknown
1776,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,0,none
1777,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,1,very low
1778,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,2,low
1779,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,3,average
1780,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,4,high
1781,,KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,5,very high
1782,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,-1,unknown
1783,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,0,none
1784,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,1,very low
1785,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,2,low
1786,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,3,average
1787,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,4,high
1788,,KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,5,very high
1789,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,-1,unknown
1790,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,0,none
1791,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,1,very low
1792,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,2,low
1793,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,3,average
1794,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,4,high
1795,,KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,5,very high
1796,,KBA13_SEG_VAN,share of vans within the PLZ8,-1,unknown
1797,,KBA13_SEG_VAN,share of vans within the PLZ8,0,none
1798,,KBA13_SEG_VAN,share of vans within the PLZ8,1,very low
1799,,KBA13_SEG_VAN,share of vans within the PLZ8,2,low
1800,,KBA13_SEG_VAN,share of vans within the PLZ8,3,average
1801,,KBA13_SEG_VAN,share of vans within the PLZ8,4,high
1802,,KBA13_SEG_VAN,share of vans within the PLZ8,5,very high
1803,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,-1,unknown
1804,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,0,none
1805,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,1,very low
1806,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,2,low
1807,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,3,average
1808,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,4,high
1809,,KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,5,very high
1810,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,-1,unknown
1811,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,0,none
1812,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,1,very low
1813,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,2,low
1814,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,3,average
1815,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,4,high
1816,,KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,5,very high
1817,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,-1,unknown
1818,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,0,none
1819,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,1,very low
1820,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,2,low
1821,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,3,average
1822,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,4,high
1823,,KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,5,very high
1824,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,-1,unknown
1825,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,0,none
1826,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,1,very low
1827,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,2,low
1828,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,3,average
1829,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,4,high
1830,,KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,5,very high
1831,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,-1,unknown
1832,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,0,none
1833,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,1,very low
1834,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,2,low
1835,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,3,average
1836,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,4,high
1837,,KBA13_TOYOTA,share of TOYOTA within the PLZ8,5,very high
1838,,KBA13_VORB_0,share of cars with no preowner - PLZ8,-1,unknown
1839,,KBA13_VORB_0,share of cars with no preowner - PLZ8,0,none
1840,,KBA13_VORB_0,share of cars with no preowner - PLZ8,1,very low
1841,,KBA13_VORB_0,share of cars with no preowner - PLZ8,2,low
1842,,KBA13_VORB_0,share of cars with no preowner - PLZ8,3,average
1843,,KBA13_VORB_0,share of cars with no preowner - PLZ8,4,high
1844,,KBA13_VORB_0,share of cars with no preowner - PLZ8,5,very high
1845,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,-1,unknown
1846,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,0,none
1847,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,1,very low
1848,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,2,low
1849,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,3,average
1850,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,4,high
1851,,KBA13_VORB_1,share of cars with 1 preowner - PLZ8,5,very high
1852,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,-1,unknown
1853,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,0,none
1854,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,1,very low
1855,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,2,low
1856,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,3,average
1857,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,4,high
1858,,KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,5,very high
1859,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,-1,unknown
1860,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,0,none
1861,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,1,very low
1862,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,2,low
1863,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,3,average
1864,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,4,high
1865,,KBA13_VORB_2,share of cars with 2 preowner - PLZ8,5,very high
1866,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,-1,unknown
1867,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,0,none
1868,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,1,very low
1869,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,2,low
1870,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,3,average
1871,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,4,high
1872,,KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,5,very high
1873,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,-1,unknown
1874,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,0,none
1875,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,1,very low
1876,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,2,low
1877,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,3,average
1878,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,4,high
1879,,KBA13_VW,share of VOLKSWAGEN within the PLZ8,5,very high
1880,,KKK,purchasing power,"-1, 0",unknown
1881,,KKK,purchasing power,1,very high
1882,,KKK,purchasing power,2,high
1883,,KKK,purchasing power,3,average
1884,,KKK,purchasing power,4,low
1885,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),1,"building is located in a 125 x 125m-grid cell (RA1), which is a consumption cell"
1886,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),2,"building is located in a 250 x 250m-grid cell, which includes at least one RA1-consumption cell"
1887,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),3,"building is located in a 500 x 500m-grid cell, which includes at least one RA1-consumption cell"
1888,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),4,"building is located in a 1 x 1km-grid cell, which includes at least one RA1-consumption cell"
1889,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),5,"building is located in a 2 x 2km-grid cell, which includes at least one RA1-consumption cell"
1890,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),6,"building is located in a 10 x 10km-grid cell, which includes at least one RA1-consumption cell"
1891,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),7,building is not located in a 10 x 10km-range to a a consumption cell
1892,,LP_FAMILIE_FEIN,familytyp fine,1,single 
1893,,LP_FAMILIE_FEIN,familytyp fine,2,couple
1894,,LP_FAMILIE_FEIN,familytyp fine,3,young single parent 
1895,,LP_FAMILIE_FEIN,familytyp fine,4,single parent with teenager
1896,,LP_FAMILIE_FEIN,familytyp fine,5,single parent with child of full age
1897,,LP_FAMILIE_FEIN,familytyp fine,6,young family 
1898,,LP_FAMILIE_FEIN,familytyp fine,7,family with teenager 
1899,,LP_FAMILIE_FEIN,familytyp fine,8,family with child of full age
1900,,LP_FAMILIE_FEIN,familytyp fine,9,shared flat
1901,,LP_FAMILIE_FEIN,familytyp fine,10,two-generational household
1902,,LP_FAMILIE_FEIN,familytyp fine,11,multi-generational household
1903,,LP_FAMILIE_GROB,familytyp rough,1,single 
1904,,LP_FAMILIE_GROB,familytyp rough,2,couple
1905,,LP_FAMILIE_GROB,familytyp rough,3,single parent
1906,,LP_FAMILIE_GROB,familytyp rough,4,single parent
1907,,LP_FAMILIE_GROB,familytyp rough,5,single parent
1908,,LP_FAMILIE_GROB,familytyp rough,6,family
1909,,LP_FAMILIE_GROB,familytyp rough,7,family
1910,,LP_FAMILIE_GROB,familytyp rough,8,family
1911,,LP_FAMILIE_GROB,familytyp rough,9,multiperson household
1912,,LP_FAMILIE_GROB,familytyp rough,10,multiperson household
1913,,LP_FAMILIE_GROB,familytyp rough,11,multiperson household
1914,,LP_LEBENSPHASE_FEIN,lifestage fine ,1,single low-income earners of younger age
1915,,LP_LEBENSPHASE_FEIN,lifestage fine ,2,single low-income earners of middle age
1916,,LP_LEBENSPHASE_FEIN,lifestage fine ,3,single average earners of younger age 
1917,,LP_LEBENSPHASE_FEIN,lifestage fine ,4,single average earners of middle age
1918,,LP_LEBENSPHASE_FEIN,lifestage fine ,5,single low-income earners of advanced age
1919,,LP_LEBENSPHASE_FEIN,lifestage fine ,6,single low-income earners at retirement age 
1920,,LP_LEBENSPHASE_FEIN,lifestage fine ,7,single average earners of advanced age
1921,,LP_LEBENSPHASE_FEIN,lifestage fine ,8,single average earners at retirement age
1922,,LP_LEBENSPHASE_FEIN,lifestage fine ,9,single independant persons
1923,,LP_LEBENSPHASE_FEIN,lifestage fine ,10,wealthy single homeowners
1924,,LP_LEBENSPHASE_FEIN,lifestage fine ,11,single homeowners of advanced age
1925,,LP_LEBENSPHASE_FEIN,lifestage fine ,12,single homeowners at retirement age
1926,,LP_LEBENSPHASE_FEIN,lifestage fine ,13,single top earners of higher age 
1927,,LP_LEBENSPHASE_FEIN,lifestage fine ,14,low-income- and average earner-couples of younger age
1928,,LP_LEBENSPHASE_FEIN,lifestage fine ,15,low-income earner-couples of higher age
1929,,LP_LEBENSPHASE_FEIN,lifestage fine ,16,average earner-couples of higher age 
1930,,LP_LEBENSPHASE_FEIN,lifestage fine ,17,independant couples
1931,,LP_LEBENSPHASE_FEIN,lifestage fine ,18,wealthy homeowner-couples of younger age 
1932,,LP_LEBENSPHASE_FEIN,lifestage fine ,19,homeowner-couples of higher age
1933,,LP_LEBENSPHASE_FEIN,lifestage fine ,20,top earner-couples of higher age
1934,,LP_LEBENSPHASE_FEIN,lifestage fine ,21,single parent low-income earners
1935,,LP_LEBENSPHASE_FEIN,lifestage fine ,22,single parent average earners
1936,,LP_LEBENSPHASE_FEIN,lifestage fine ,23,single parent high-income earners
1937,,LP_LEBENSPHASE_FEIN,lifestage fine ,24,low-income earner-families
1938,,LP_LEBENSPHASE_FEIN,lifestage fine ,25,average earner-families 
1939,,LP_LEBENSPHASE_FEIN,lifestage fine ,26,independant families
1940,,LP_LEBENSPHASE_FEIN,lifestage fine ,27,homeowner-families
1941,,LP_LEBENSPHASE_FEIN,lifestage fine ,28,top earner-families
1942,,LP_LEBENSPHASE_FEIN,lifestage fine ,29,low-income earners of younger age from mulitperson households
1943,,LP_LEBENSPHASE_FEIN,lifestage fine ,30,average earners of younger age from mulitperson households
1944,,LP_LEBENSPHASE_FEIN,lifestage fine ,31,low-income earners of higher age from mulitperson households
1945,,LP_LEBENSPHASE_FEIN,lifestage fine ,32,average earners of higher age from mulitperson households
1946,,LP_LEBENSPHASE_FEIN,lifestage fine ,33,independant persons of younger age from mulitperson households
1947,,LP_LEBENSPHASE_FEIN,lifestage fine ,34,homeowners of younger age from mulitperson households
1948,,LP_LEBENSPHASE_FEIN,lifestage fine ,35,top earners of younger age from mulitperson households
1949,,LP_LEBENSPHASE_FEIN,lifestage fine ,36,independant persons of higher age from mulitperson households
1950,,LP_LEBENSPHASE_FEIN,lifestage fine ,37,homeowners of advanced age from mulitperson households
1951,,LP_LEBENSPHASE_FEIN,lifestage fine ,38,homeowners at retirement age from mulitperson households
1952,,LP_LEBENSPHASE_FEIN,lifestage fine ,39,top earners of middle age from mulitperson households
1953,,LP_LEBENSPHASE_FEIN,lifestage fine ,40,top earners at retirement age from mulitperson households
1954,,LP_LEBENSPHASE_GROB,lifestage rough,1,single low-income- and average earners of younger age 
1955,,LP_LEBENSPHASE_GROB,lifestage rough,2,single low-income- and average earners of higher age 
1956,,LP_LEBENSPHASE_GROB,lifestage rough,3,single high-income earners
1957,,LP_LEBENSPHASE_GROB,lifestage rough,4,single low-income- and average earner-couples 
1958,,LP_LEBENSPHASE_GROB,lifestage rough,5,single high-income earner-couples
1959,,LP_LEBENSPHASE_GROB,lifestage rough,6,single parents
1960,,LP_LEBENSPHASE_GROB,lifestage rough,7,single low-income- and average earner-families
1961,,LP_LEBENSPHASE_GROB,lifestage rough,8,high-income earner-families
1962,,LP_LEBENSPHASE_GROB,lifestage rough,9,average earners of younger age from mulitperson households
1963,,LP_LEBENSPHASE_GROB,lifestage rough,10,low-income- and average earners of higher age from mulitperson households
1964,,LP_LEBENSPHASE_GROB,lifestage rough,11,high-income earners of younger age from multiperson households
1965,,LP_LEBENSPHASE_GROB,lifestage rough,12,high-income earners of higher age from multiperson households
1966,,LP_STATUS_FEIN,social status fine,1,typical low-income earners
1967,,LP_STATUS_FEIN,social status fine,2,orientationseeking low-income earners
